date,cat,geo,gprop,arrival,emigrant,emigrate,emigration,immigrant,immigrate,immigration,legalization,migrant,migrate,migration,passport,quota,required documents,visa,waiver
2009-07-01,0,AF,,37,0,0,0,47,0,0,0,0,0,20,0,0,0,25,58
2009-08-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,22,0,0,36,0
2009-09-01,0,AF,,0,0,0,0,0,74,27,0,0,0,0,0,0,0,28,0
2009-10-01,0,AF,,36,0,0,0,0,0,12,0,0,32,0,20,0,0,57,0
2009-11-01,0,AF,,73,0,0,0,0,0,12,0,33,0,0,0,0,0,0,0
2009-12-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,18,0,0,16,0
2010-01-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,17,0,0,31,54
2010-02-01,0,AF,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2010-03-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
2010-04-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,39,0,0,49,87
2010-05-01,0,AF,,0,0,100,31,0,0,12,0,0,0,0,19,0,0,8,0
2010-06-01,0,AF,,0,70,0,0,48,70,0,0,33,0,0,20,0,0,9,0
2010-07-01,0,AF,,0,0,0,31,0,0,12,0,0,31,19,19,0,0,16,58
2010-08-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,39,0,0,33,0
2010-09-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,39,0,0,17,60
2010-10-01,0,AF,,0,0,0,0,0,55,0,0,0,0,0,0,0,0,14,49
2010-11-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
2010-12-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,35,0,0,23,53
2011-01-01,0,AF,,22,0,0,20,0,0,31,0,0,20,13,0,0,0,22,0
2011-02-01,0,AF,,0,0,0,0,27,0,0,0,0,0,12,12,0,0,29,0
2011-03-01,0,AF,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,34,0
2011-04-01,0,AF,,0,0,0,15,0,0,24,0,46,15,20,19,0,0,28,0
2011-05-01,0,AF,,17,0,0,0,0,0,29,0,0,0,0,9,0,0,44,0
2011-06-01,0,AF,,71,45,0,0,31,45,24,0,21,0,0,39,0,0,17,0
2011-07-01,0,AF,,0,0,0,0,0,0,0,0,0,0,0,22,0,0,18,0
2011-08-01,0,AF,,0,0,0,17,25,0,33,0,0,17,11,0,0,0,27,0
2011-09-01,0,AF,,16,62,0,0,42,62,6,0,30,0,9,9,0,0,44,0
2011-10-01,0,AF,,0,0,0,13,0,0,10,0,0,13,8,16,0,0,13,0
2011-11-01,0,AF,,0,0,0,14,0,0,16,0,0,14,9,9,0,0,15,0
2011-12-01,0,AF,,15,27,0,26,19,27,15,0,13,26,16,16,0,0,17,0
2012-01-01,0,AF,,32,20,0,19,14,20,11,0,10,19,12,17,0,0,19,0
2012-02-01,0,AF,,9,0,0,0,0,0,3,0,0,0,0,5,0,0,20,14
2012-03-01,0,AF,,7,0,21,14,9,0,3,0,0,7,4,0,0,0,19,12
2012-04-01,0,AF,,8,15,0,0,10,15,8,0,7,0,0,4,0,0,28,0
2012-05-01,0,AF,,0,14,0,7,20,14,8,0,7,7,4,8,0,0,21,12
2012-06-01,0,AF,,0,13,0,6,27,13,4,0,6,6,8,11,0,0,16,0
2012-07-01,0,AF,,7,0,0,0,19,0,3,0,0,0,8,0,9,0,24,12
2012-08-01,0,AF,,7,0,20,12,9,0,14,0,0,6,12,8,0,0,29,0
2012-09-01,0,AF,,0,0,0,12,9,0,19,0,0,12,7,7,0,0,20,0
2012-10-01,0,AF,,6,0,0,12,8,12,11,0,0,12,7,11,8,0,18,0
2012-11-01,0,AF,,0,0,18,6,8,0,4,0,0,0,0,7,0,0,26,11
2012-12-01,0,AF,,0,21,0,0,21,21,9,0,10,0,6,12,0,0,28,0
2013-01-01,0,AF,,5,0,0,4,0,0,12,0,0,8,8,3,0,0,27,0
2013-02-01,0,AF,,0,0,0,4,25,18,15,0,4,4,6,5,0,0,17,0
2013-03-01,0,AF,,0,0,0,4,0,15,5,0,0,8,4,9,0,0,21,7
2013-04-01,0,AF,,9,0,0,4,6,8,10,0,0,4,4,5,0,0,17,7
2013-05-01,0,AF,,4,0,0,15,0,0,19,0,0,15,9,14,5,0,29,0
2013-06-01,0,AF,,4,0,0,4,5,0,10,0,0,8,2,12,5,0,20,0
2013-07-01,0,AF,,4,0,12,8,5,8,10,0,0,4,7,11,5,0,30,0
2013-08-01,0,AF,,20,0,0,10,10,0,9,0,0,10,9,11,5,0,29,6
2013-09-01,0,AF,,4,0,11,13,25,7,15,0,0,10,9,9,0,0,29,0
2013-10-01,0,AF,,8,0,0,0,0,7,5,0,0,0,0,11,5,0,21,6
2013-11-01,0,AF,,0,0,24,14,5,8,7,0,0,7,7,11,0,0,26,7
2013-12-01,0,AF,,0,0,10,3,14,7,7,0,0,0,0,14,0,0,29,6
2014-01-01,0,AF,,13,0,0,12,4,0,12,0,0,12,8,7,0,0,27,6
2014-02-01,0,AF,,7,0,0,3,0,0,9,0,0,6,2,8,0,0,23,6
2014-03-01,0,AF,,13,0,0,9,9,6,10,0,0,9,8,9,0,0,25,0
2014-04-01,0,AF,,6,12,0,11,8,12,8,0,6,11,10,7,0,0,22,5
2014-05-01,0,AF,,9,0,0,11,20,18,8,0,0,11,9,10,4,0,26,0
2014-06-01,0,AF,,8,0,0,0,0,0,6,0,0,0,2,8,0,0,24,0
2014-07-01,0,AF,,4,7,0,3,19,7,7,0,3,6,8,14,0,0,35,0
2014-08-01,0,AF,,6,0,10,6,13,0,11,0,0,3,2,17,0,0,33,0
2014-09-01,0,AF,,11,7,10,16,14,7,15,0,3,13,8,10,0,0,35,0
2014-10-01,0,AF,,4,0,10,12,0,0,11,0,0,9,8,8,0,0,36,6
2014-11-01,0,AF,,13,0,0,3,9,0,1,0,0,3,6,4,0,0,24,0
2014-12-01,0,AF,,10,13,0,3,9,13,6,0,6,3,4,11,0,0,27,12
2015-01-01,0,AF,,0,0,0,6,4,0,8,0,0,6,8,6,0,0,20,6
2015-02-01,0,AF,,4,0,0,0,0,0,8,0,0,0,0,8,0,0,27,0
2015-03-01,0,AF,,14,7,0,10,14,7,6,0,3,13,10,14,0,0,24,0
2015-04-01,0,AF,,22,0,0,3,5,0,5,0,0,3,2,14,5,0,26,0
2015-05-01,0,AF,,3,7,0,6,10,7,8,0,3,6,4,4,4,0,34,0
2015-06-01,0,AF,,11,21,11,13,28,21,7,0,10,10,6,14,0,0,38,0
2015-07-01,0,AF,,20,18,0,15,21,18,10,0,12,15,11,5,0,0,27,8
2015-08-01,0,AF,,18,29,0,14,24,35,16,0,14,14,9,13,4,0,57,5
2015-09-01,0,AF,,13,6,19,30,4,6,22,0,6,27,17,11,0,0,43,0
2015-10-01,0,AF,,17,12,9,29,12,18,18,0,6,26,18,18,0,0,42,0
2015-11-01,0,AF,,10,19,0,0,26,19,8,0,9,0,0,13,0,0,31,0
2015-12-01,0,AF,,10,6,9,15,12,6,14,0,3,12,11,18,8,0,30,0
2016-01-01,0,AF,,3,6,0,16,4,6,10,0,3,16,10,20,7,0,29,0
2016-02-01,0,AF,,22,6,0,8,8,6,9,0,3,14,7,21,0,0,22,0
2016-03-01,0,AF,,11,10,0,10,7,15,5,0,5,10,8,15,0,0,28,0
2016-04-01,0,AF,,5,5,0,12,10,5,7,0,2,12,8,9,0,0,31,4
2016-05-01,0,AF,,23,5,0,8,15,5,11,0,3,11,7,8,0,0,33,5
2016-06-01,0,AF,,9,12,0,6,16,12,5,0,6,6,3,0,0,0,28,0
2016-07-01,0,AF,,16,5,0,15,11,5,9,0,4,15,12,2,0,0,33,0
2016-08-01,0,AF,,27,10,0,5,14,10,6,0,5,5,9,16,3,0,31,0
2016-09-01,0,AF,,17,11,16,13,18,11,6,0,8,8,5,15,4,0,40,7
2016-10-01,0,AF,,16,5,0,24,6,5,14,0,2,24,16,19,3,0,37,0
2016-11-01,0,AF,,13,0,15,15,7,0,12,0,0,10,9,9,0,0,32,4
2016-12-01,0,AF,,32,0,7,13,6,0,6,0,4,11,8,7,0,0,22,0
2017-01-01,0,AF,,20,4,0,6,6,4,6,0,2,6,8,9,0,0,26,8
2017-02-01,0,AF,,15,9,0,4,9,9,6,0,4,6,7,11,0,0,25,4
2017-03-01,0,AF,,16,0,7,19,6,0,8,0,2,17,14,8,0,0,35,4
2017-04-01,0,AF,,14,0,7,8,3,4,5,0,2,6,7,9,0,0,29,4
2017-05-01,0,AF,,28,15,0,19,10,15,7,0,7,21,16,10,0,0,21,9
2017-06-01,0,AF,,12,6,0,8,4,6,7,0,3,8,8,10,0,0,32,0
2017-07-01,0,AF,,11,5,0,12,3,5,13,0,2,12,7,9,0,0,25,0
2017-08-01,0,AF,,11,0,0,5,4,0,4,0,0,5,5,6,0,0,31,0
2017-09-01,0,AF,,15,6,0,3,12,6,3,0,3,3,5,5,0,0,22,0
2017-10-01,0,AF,,14,0,16,8,11,0,6,0,3,3,4,22,0,0,33,9
2017-11-01,0,AF,,6,0,8,16,7,5,6,0,0,13,10,8,0,0,26,0
2017-12-01,0,AF,,16,10,0,10,11,10,6,0,7,12,9,9,7,0,18,9
2018-01-01,0,AF,,12,9,0,2,9,9,5,0,4,4,7,14,0,0,26,8
2018-02-01,0,AF,,8,0,0,7,0,0,6,0,0,9,7,7,7,0,33,0
2018-03-01,0,AF,,7,9,0,2,9,9,3,0,4,2,1,17,0,0,28,0
2018-04-01,0,AF,,8,5,0,11,6,10,8,0,2,11,8,4,0,0,32,8
2018-05-01,0,AF,,19,0,0,2,3,0,4,0,0,4,1,6,0,0,40,4
2018-06-01,0,AF,,11,0,0,9,7,5,9,0,0,9,6,13,0,0,25,0
2018-07-01,0,AF,,12,0,0,4,6,0,5,0,0,4,6,11,3,0,27,4
2018-08-01,0,AF,,24,23,0,6,16,23,4,0,11,6,4,12,0,0,35,4
2018-09-01,0,AF,,9,13,0,19,9,13,10,0,6,19,12,11,3,0,30,4
2018-10-01,0,AF,,9,4,0,8,3,4,5,0,4,8,5,13,0,0,28,4
2018-11-01,0,AF,,7,5,7,2,6,5,5,0,6,0,4,8,0,0,28,4
2018-12-01,0,AF,,22,5,0,2,6,5,4,0,2,4,2,11,0,0,34,0
2019-01-01,0,AF,,8,16,0,6,11,16,9,0,8,6,6,16,3,0,28,5
2019-02-01,0,AF,,18,4,0,10,3,4,8,0,4,10,7,8,3,0,39,4
2019-03-01,0,AF,,24,12,0,4,11,12,3,0,6,6,3,11,3,0,22,4
2019-04-01,0,AF,,23,9,7,4,9,9,3,0,4,2,4,13,0,0,21,0
2019-05-01,0,AF,,22,9,7,13,12,9,9,0,4,11,8,11,0,0,36,0
2019-06-01,0,AF,,25,4,13,19,3,4,11,0,2,15,12,23,0,0,28,0
2019-07-01,0,AF,,30,4,0,8,6,8,8,0,2,8,6,20,0,0,31,8
2019-08-01,0,AF,,21,9,0,4,9,14,4,0,4,4,3,11,0,0,30,4
2019-09-01,0,AF,,16,0,0,17,0,0,9,0,0,17,12,8,0,0,32,0
2019-10-01,0,AF,,9,0,0,6,6,0,4,0,0,6,5,18,0,0,32,7
2019-11-01,0,AF,,14,0,6,6,0,0,9,0,0,6,3,14,3,0,26,0
2019-12-01,0,AF,,21,8,6,6,10,8,5,0,4,8,4,9,0,0,18,3
2020-01-01,0,AF,,17,4,0,7,4,8,8,0,2,10,7,12,0,0,24,3
2020-02-01,0,AF,,11,7,0,9,5,7,8,0,3,9,8,21,2,0,23,3
2020-03-01,0,AF,,17,0,0,2,2,0,3,0,0,2,2,7,0,0,8,3
2020-04-01,0,AF,,18,0,0,4,0,4,4,0,0,4,6,3,0,0,7,5
2020-05-01,0,AF,,10,4,6,13,3,4,9,0,2,13,10,7,0,0,16,0
2020-06-01,0,AF,,11,4,0,14,2,4,7,0,2,16,9,9,0,0,16,0
2020-07-01,0,AF,,19,4,0,14,4,8,8,0,2,17,9,14,0,0,14,3
2020-08-01,0,AF,,26,0,5,5,0,4,6,0,0,3,2,14,2,0,24,5
2020-09-01,0,AF,,18,0,0,8,0,3,7,0,0,10,9,5,0,0,17,3
2020-10-01,0,AF,,32,3,0,7,2,3,6,0,2,10,4,11,0,0,27,0
2020-11-01,0,AF,,26,3,0,10,9,6,11,0,2,10,8,9,2,0,27,3
2020-12-01,0,AF,,18,6,5,7,6,6,9,0,4,6,5,12,0,0,26,3
2021-01-01,0,AF,,14,0,11,9,5,4,7,0,2,7,5,13,0,0,38,0
2004-01-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-01,0,AL,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-04-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-05-01,0,AL,,0,0,0,0,0,0,71,0,0,0,0,0,0,0,74,0
2004-06-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-07-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-08-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-10-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-11-01,0,AL,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2004-12-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
2005-04-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0
2005-05-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
2005-06-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
2005-08-01,0,AL,,0,0,0,0,0,0,100,0,0,0,74,0,0,0,0,0
2005-09-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0
2005-11-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
2006-02-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,0,AL,,0,0,0,40,0,0,24,0,0,0,0,0,0,0,25,0
2006-04-01,0,AL,,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
2006-05-01,0,AL,,0,0,0,18,0,0,21,0,0,0,0,87,0,0,22,0
2006-06-01,0,AL,,0,0,0,0,0,0,22,0,0,0,0,0,0,0,47,0
2006-07-01,0,AL,,0,0,0,0,0,0,0,0,0,0,38,0,0,0,51,0
2006-08-01,0,AL,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2006-09-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,AL,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,19,0
2006-11-01,0,AL,,0,0,0,0,0,0,17,0,0,0,0,0,0,0,18,0
2006-12-01,0,AL,,0,0,0,0,0,0,0,0,100,0,0,0,0,0,19,0
2007-01-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,AL,,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
2007-03-01,0,AL,,0,0,0,0,0,0,14,0,0,0,0,0,0,0,29,0
2007-04-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
2007-05-01,0,AL,,0,0,0,0,0,0,0,97,65,0,0,23,0,0,0,0
2007-06-01,0,AL,,0,0,0,0,100,0,23,0,0,0,0,0,0,0,24,0
2007-07-01,0,AL,,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0
2007-08-01,0,AL,,0,0,0,0,0,0,0,0,0,0,20,27,100,0,26,0
2007-09-01,0,AL,,0,0,0,10,0,0,11,100,0,0,0,0,0,0,36,0
2007-10-01,0,AL,,0,0,0,0,0,0,9,0,0,0,0,0,0,0,20,0
2007-11-01,0,AL,,0,0,0,16,0,0,0,0,0,0,0,0,0,0,9,0
2007-12-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
2008-01-01,0,AL,,0,0,0,0,71,0,17,0,0,0,26,0,0,0,43,0
2008-02-01,0,AL,,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8,0
2008-03-01,0,AL,,0,0,0,0,0,0,0,0,46,0,0,16,0,0,16,0
2008-04-01,0,AL,,0,0,0,6,0,0,7,0,0,0,0,0,0,0,21,0
2008-05-01,0,AL,,0,0,0,0,0,0,6,0,0,0,0,14,0,0,0,0
2008-06-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,15,0,0,22,0
2008-07-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0
2008-08-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2008-09-01,0,AL,,0,0,0,0,0,0,0,54,0,0,0,13,0,0,14,100
2008-10-01,0,AL,,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0
2008-11-01,0,AL,,0,0,0,0,44,0,10,0,0,0,0,11,0,0,5,0
2008-12-01,0,AL,,0,0,0,4,0,0,10,0,0,0,0,0,0,0,15,0
2009-01-01,0,AL,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0
2009-02-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2009-03-01,0,AL,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0
2009-04-01,0,AL,,0,0,0,5,0,0,0,0,0,100,0,39,0,0,6,0
2009-05-01,0,AL,,0,0,100,0,51,0,0,0,0,0,0,25,0,0,25,0
2009-06-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2009-07-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2009-08-01,0,AL,,0,0,0,0,0,100,0,0,0,0,10,13,0,0,6,0
2009-09-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,AL,,0,0,0,0,0,0,0,0,0,84,8,0,0,0,11,0
2009-11-01,0,AL,,0,0,0,0,0,0,5,0,0,0,0,0,38,0,5,0
2009-12-01,0,AL,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,AL,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0
2010-02-01,0,AL,,0,0,0,0,0,0,5,0,0,0,0,20,0,0,5,0
2010-03-01,0,AL,,0,0,0,3,0,0,0,0,0,0,0,9,0,0,9,0
2010-04-01,0,AL,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0
2010-05-01,0,AL,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0
2010-06-01,0,AL,,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0
2010-07-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2010-08-01,0,AL,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0
2010-09-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0
2010-10-01,0,AL,,0,0,0,0,0,0,0,0,0,0,0,8,0,0,21,0
2010-11-01,0,AL,,0,0,0,0,34,0,0,0,0,0,12,8,0,0,0,0
2010-12-01,0,AL,,0,0,0,3,0,0,8,0,0,0,0,9,0,0,22,0
2011-01-01,0,AL,,0,0,0,1,6,0,2,0,0,0,0,11,0,0,4,0
2011-02-01,0,AL,,0,0,0,1,0,0,2,0,0,0,2,2,0,0,6,0
2011-03-01,0,AL,,0,0,12,0,6,0,1,0,0,0,1,3,0,0,5,0
2011-04-01,0,AL,,0,0,0,1,0,0,0,0,0,0,5,8,12,0,4,0
2011-05-01,0,AL,,0,0,0,1,0,0,1,0,4,12,0,3,0,0,4,0
2011-06-01,0,AL,,0,0,0,0,7,0,1,0,0,0,0,3,6,0,7,0
2011-07-01,0,AL,,0,0,0,1,0,0,1,0,0,0,1,5,0,0,1,0
2011-08-01,0,AL,,0,0,0,1,0,12,2,0,0,13,1,2,0,0,5,0
2011-09-01,0,AL,,0,0,0,1,12,0,0,7,0,12,0,0,0,0,7,0
2011-10-01,0,AL,,0,0,0,1,0,0,1,0,0,0,2,7,0,0,4,0
2011-11-01,0,AL,,35,3,0,2,6,0,1,6,0,0,5,1,5,0,8,23
2011-12-01,0,AL,,0,0,0,2,0,0,0,0,0,0,1,4,5,0,3,0
2012-01-01,0,AL,,0,0,0,2,0,0,2,0,0,0,2,0,0,0,3,0
2012-02-01,0,AL,,0,3,0,1,0,0,1,0,0,0,0,3,5,0,4,0
2012-03-01,0,AL,,0,0,0,1,5,0,1,0,0,10,4,3,0,0,6,0
2012-04-01,0,AL,,0,0,22,0,0,10,1,0,0,0,0,4,0,0,6,0
2012-05-01,0,AL,,31,0,0,2,10,0,1,0,4,0,0,0,0,0,10,0
2012-06-01,0,AL,,0,0,0,0,0,0,1,0,0,11,2,4,5,0,7,0
