,Route,Nationality,Language,ISO2,JAN2009,FEB2009,MAR2009,APR2009,MAY2009,JUN2009,JUL2009,AUG2009,SEP2009,OCT2009,NOV2009,DEC2009,JAN2010,FEB2010,MAR2010,APR2010,MAY2010,JUN2010,JUL2010,AUG2010,SEP2010,OCT2010,NOV2010,DEC2010,JAN2011,FEB2011,MAR2011,APR2011,MAY2011,JUN2011,JUL2011,AUG2011,SEP2011,OCT2011,NOV2011,DEC2011,JAN2012,FEB2012,MAR2012,APR2012,MAY2012,JUN2012,JUL2012,AUG2012,SEP2012,OCT2012,NOV2012,DEC2012,JAN2013,FEB2013,MAR2013,APR2013,MAY2013,JUN2013,JUL2013,AUG2013,SEP2013,OCT2013,NOV2013,DEC2013,JAN2014,FEB2014,MAR2014,APR2014,MAY2014,JUN2014,JUL2014,AUG2014,SEP2014,OCT2014,NOV2014,DEC2014,JAN2015,FEB2015,MAR2015,APR2015,MAY2015,JUN2015,JUL2015,AUG2015,SEP2015,OCT2015,NOV2015,DEC2015,JAN2016,FEB2016,MAR2016,APR2016,MAY2016,JUN2016,JUL2016,AUG2016,SEP2016,OCT2016,NOV2016,DEC2016,JAN2017,FEB2017,MAR2017,APR2017,MAY2017,JUN2017,JUL2017,AUG2017,SEP2017,OCT2017,NOV2017,DEC2017,JAN2018,FEB2018,MAR2018,APR2018,MAY2018,JUN2018,JUL2018,AUG2018,SEP2018,OCT2018,NOV2018,DEC2018,JAN2019,FEB2019,MAR2019,APR2019,MAY2019,JUN2019,JUL2019,AUG2019,SEP2019,OCT2019,NOV2019,DEC2019,JAN2020,FEB2020,MAR2020,APR2020,MAY2020,JUN2020,JUL2020,AUG2020,SEP2020,OCT2020,NOV2020,Unnamed: 3
12,Central Mediterranean Route,Afghanistan,Persian+Pashto,AF,0,0,0,13,0,0,44,29,66,74,74,64,17,0,15,30,67,108,213,367,193,199,375,117,67,261,54,184,183,201,236,271,305,88,105,333,126,161,47,46,114,301,270,115,162,134,201,61,35,73,9,10,123,125,191,135,104,149,5,1,2,20,41,110,4,131,67,159,80,109,90,30,19,0,0,30,13,23,29,1,0,0,1,1,1,0,0,8,78,83,54,36,70,2,19,69,0,0,0,19,12,35,21,0,62,29,0,0,22,0,0,29,17,88,48,0,0,0,2,0,0,0,0,0,0,34,1,5,17,2,9,0,0,0,0,0,0,46,124,231,71,238,155,4.0
13,Central Mediterranean Route,Albania,Albanian,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
14,Central Mediterranean Route,Algeria,Arabic,DZ,31,20,35,17,95,41,170,76,18,39,6,7,0,0,0,0,18,50,64,45,64,42,7,5,12,0,0,0,52,21,26,111,35,0,42,28,0,0,0,6,3,17,0,4,5,8,0,0,0,0,3,23,21,22,28,2,40,2,19,1,0,0,4,1,8,18,4,81,15,36,9,2,1,0,0,11,32,21,0,20,16,58,49,135,115,0,23,15,25,17,129,280,100,196,119,221,51,177,77,99,145,181,98,233,536,83,272,68,143,9,19,140,114,145,168,114,126,124,83,31,0,39,41,17,111,70,68,195,256,174,42,26,254,61,4,7,53,99,196,191,265,93,162,12.0
15,Central Mediterranean Route,Angola,Portuguese,AO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
16,Central Mediterranean Route,Azerbaijan,Azerbaijani,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31.0
17,Central Mediterranean Route,Bangladesh,Bengali,BD,41,7,108,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,108,743,167,71,84,29,22,80,1,0,4,3,5,30,37,83,89,242,105,14,10,0,4,22,3,26,36,85,30,47,33,9,26,21,18,23,57,104,104,483,1497,1484,388,24,0,1,9,19,305,476,923,2218,1053,22,1,1,0,0,0,1,2,17,565,2239,1684,1310,1509,251,553,224,1079,1528,1814,2461,1135,446,60,123,26,42,71,27,7,5,2,57,136,21,117,0,80,87,44,57,0,27,0,109,60,0,45,69,143,181,59,199,411,44,38,482,326,1090,735,121,177,731,50.0
18,Central Mediterranean Route,Belarus,Belarusian,BY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0
19,Central Mediterranean Route,Benin,French,BJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,17,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1,5,5,0,0,0,0,2,16,19,18,22,10,2,12,3,2,12,28,15,20,42,66,76,48,18,23,11,30,25,22,54,18,66,71,9,13,25,46,23,16,17,10,8,39,37,66,24,2,1,1,5,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3,0,1,0,8,0,3,8,0,0,0,0,7,7,0,1,10,204.0
20,Central Mediterranean Route,Burkina Faso,French,BF,1,1,14,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,318,89,45,33,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,5,2,0,8,1,1,7,8,8,9,11,10,36,32,26,27,28,9,4,20,13,41,65,50,52,54,39,42,27,59,45,45,78,49,103,98,99,86,102,176,111,63,50,40,57,61,130,160,90,13,36,9,6,4,8,1,1,12,16,8,1,0,0,2,3,2,0,0,1,0,4,5,2,1,10,6,6,1,8,5,1,6,3,1,9,11,5,15,38,854.0
21,Central Mediterranean Route,Burundi,French,BI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108.0
22,Central Mediterranean Route,Cabo Verde,Portuguese,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.0
23,Central Mediterranean Route,Cameroon,French+English,CM,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,57,24,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,7,8,7,1,0,3,3,13,4,3,9,5,11,22,20,12,13,1,0,3,6,24,23,41,55,134,41,92,53,184,96,156,192,114,452,479,252,229,356,437,186,150,117,141,157,199,415,638,324,139,239,88,77,50,93,11,7,61,77,62,14,7,0,0,9,0,3,0,6,4,14,24,28,18,43,54,68,8,29,37,4,7,12,11,11,71,9,8,97,120.0
24,Central Mediterranean Route,Central African Republic (the),French,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,2383,347,0,973,0,0,0,69,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,0,5,3,2,4,1,4,2,4,0,3,1,0,0,0,5,1,1,7,6,4,1,1,5,1,1,7,2,18,10,3,5,4,8,2,3,1,4,3,4,6,15,10,1,3,0,0,1,0,0,0,1,2,3,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,1,0,1,0,1,2,0,0,4,1,0,3,140.0
25,Central Mediterranean Route,Chad,French+Arabic,TD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,109,241,139,179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,4,3,0,0,0,1,0,1,22,14,12,15,23,3,2,0,3,1,1,19,18,34,10,48,22,4,1,12,10,0,19,8,44,57,48,89,40,35,18,3,3,26,22,40,100,148,74,13,18,15,14,4,4,3,4,30,28,28,2,1,0,0,3,0,0,0,1,0,45,5,30,21,11,9,5,2,13,18,0,9,10,8,10,4,6,5,18,148.0
26,Central Mediterranean Route,China,Mandarin,CN,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.0
27,Central Mediterranean Route,Comoros (the),French+Arabic,KM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,48,33,3,7,13,20,72,1,0,1,1,56,304,137,56,122,169,28,24,33,2,2,35,102,93,28,63,156,6,14,10,78,2,51,0,9,3,17,2,15,10,0,0,9,0,0,0,0,0,12,14,0,0,3,1,1,0,1,0,0,5,3,0,0,1,0,1,0,174.0
28,Central Mediterranean Route,Congo (the Democratic Republic of the),French,CD,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,3,2,0,0,6,0,0,0,1,0,0,0,0,0,0,180.0
29,Central Mediterranean Route,Congo (the),French,CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,52,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9,11,34,52,26,12,1,0,0,0,8,11,16,13,48,19,17,10,12,3,14,10,7,37,56,68,42,26,34,9,9,3,14,13,14,26,100,22,11,11,1,3,1,4,0,0,5,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,4,5,9,0,0,0,0,2,5,178.0
30,Central Mediterranean Route,Côte d'Ivoire,French,CI,3,1,45,36,26,0,3,3,17,2,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,1,26,289,478,222,84,150,0,0,0,0,0,0,0,0,1,0,1,0,0,2,4,0,0,0,11,3,2,3,10,18,17,22,0,12,15,33,47,63,77,116,159,201,189,141,313,139,147,151,244,335,428,378,402,534,264,141,152,580,334,399,814,694,1444,1681,1303,1006,1041,1788,1054,841,841,806,882,1413,1717,1697,551,358,490,185,386,183,180,31,29,286,312,215,21,5,1,29,67,15,8,0,53,19,42,194,163,123,394,183,106,19,219,90,29,156,326,69,68,119,67,130,498,384.0
31,Central Mediterranean Route,Djibouti,French+Arabic,DJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.0
32,Central Mediterranean Route,Egypt,Arabic,EG,158,36,89,76,2,0,2,52,5,38,0,6,0,0,0,0,0,20,114,2,141,163,65,62,0,94,224,328,115,209,288,63,63,228,164,142,177,1,0,52,218,250,171,149,98,67,69,2,4,15,201,291,73,400,657,464,208,184,121,110,178,1,135,414,346,761,715,725,565,269,229,4,6,6,6,70,155,122,326,686,687,307,222,16,18,18,46,874,869,804,414,745,308,52,37,41,4,43,16,41,134,177,109,43,114,52,87,168,70,8,16,36,21,21,11,11,8,31,37,6,14,0,6,1,35,27,3,16,71,35,22,37,21,9,41,16,17,59,177,180,64,215,211,818.0
33,Central Mediterranean Route,Equatorial Guinea,French+Spanish+Portuguese,GQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,248,73,80,11,223,3,0,0,0,0,0,17,38,177,0,0,0,0,0,0,11,0,0,0,71,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,0,0,0,16,226.0
34,Central Mediterranean Route,Ethiopia,English+Amharic,ET,0,1,0,18,0,0,0,1,2,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,87,16,10,3,0,8,0,0,0,0,0,0,0,0,0,10,11,37,18,37,13,10,0,0,3,55,0,82,243,117,28,27,2,7,0,12,4,62,63,47,49,112,80,72,35,24,24,5,14,494,455,484,385,452,109,48,20,129,110,76,113,391,404,575,869,517,54,162,113,62,21,30,64,114,185,151,75,13,26,11,39,23,22,6,6,11,13,15,7,2,0,1,1,0,0,0,0,0,1,2,0,22,2,12,1,4,7,10,16,1,0,1,7,1,5,14,31,231.0
35,Central Mediterranean Route,Gabon,French,GA,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.0
36,Central Mediterranean Route,Gambia (the),English,GM,2,0,7,15,24,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,61,73,23,16,116,0,0,0,0,0,0,0,0,0,1,0,54,65,85,66,79,0,0,233,170,52,107,151,239,430,748,229,330,370,513,441,246,536,1299,856,740,1021,608,989,930,456,540,422,686,752,864,1091,677,801,444,180,1332,718,684,937,562,1370,1498,1086,895,995,1744,895,545,457,787,988,618,1161,909,545,60,124,42,83,34,92,17,14,46,37,61,2,0,0,1,2,4,2,0,9,0,3,5,6,13,21,13,28,6,12,27,3,0,8,6,21,28,13,3,52,270.0
37,Central Mediterranean Route,Georgia,Georgian,GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,268.0
